FeatureID	FeatureType	FeatureName	GenomeID	Genome	VersionName	ContigName	Strand	PartCount	PartNumber	Left End	Right End	
ABE-0285787	ncRNA	sroA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	75516	75608	
ABE-0000251	CDS	sgrR	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	75644	77299	
ABE-0285090	ncRNA	sgrS	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	77367	77593	
ABE-0285206	CDS	sgrT	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	77388	77519	
ABE-0000257	CDS	setA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	77621	78799	
ABE-0000259	CDS	leuD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	78848	79453	
ABE-0000261	CDS	leuC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	79464	80864	
ABE-0000265	CDS	leuB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	80867	81958	
ABE-0000267	CDS	leuA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	81958	83529	
ABE-0000269	CDS	leuL	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	83622	83708	
ABE-0000280	CDS	leuO	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	84368	85312	
ABE-0285808	CDS	yabR	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	85467	85511	
ABE-0000290	CDS	ilvI	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	85630	87354	
ABE-0000294	CDS	ilvH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	87357	87848	
ABE-0000299	CDS	cra	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	88028	89032	
ABE-0000302	CDS	mraZ	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	89634	90092	
ABE-0000304	CDS	rsmH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	90094	91035	
ABE-0000306	CDS	ftsL	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	91032	91397	
ABE-0000309	CDS	ftsI	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	91413	93179	
ABE-0000311	CDS	murE	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	93166	94653	
ABE-0000313	CDS	murF	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	94650	96008	
ABE-0000316	CDS	mraY	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	96002	97084	
ABE-0000318	CDS	murD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	97087	98403	
ABE-0000320	CDS	ftsW	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	98403	99647	
ABE-0000322	CDS	murG	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	99644	100711	
ABE-0000324	CDS	murC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	100765	102240	
ABE-0000326	CDS	ddlB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	102233	103153	
ABE-0000329	CDS	ftsQ	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	103155	103985	
ABE-0000331	CDS	ftsA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	103982	105244	
ABE-0000333	CDS	ftsZ	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	105305	106456	
ABE-0000336	CDS	lpxC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	106557	107474	
ABE-0000340	CDS	secM	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	107705	108217	
ABE-0000343	CDS	secA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	108279	110984	
ABE-0000346	CDS	mutT	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	111044	111433	
ABE-0285327	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	111430	111629	
ABE-0000351	CDS	yacG	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	111649	111846	
ABE-0000355	CDS	zapD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	111856	112599	
ABE-0000357	CDS	coaE	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	112599	113219	
ABE-0285817	CDS	yacM	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	113244	113288	
ABE-0000362	CDS	guaC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	113444	114487	
ABE-0000366	CDS	hofC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	114522	115724	
ABE-0000370	CDS	hofB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	115714	117099	
ABE-0000372	CDS	ppdD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	117109	117549	
ABE-0000374	CDS	nadC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	117752	118645	
ABE-0000380	CDS	ampD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	118733	119284	
ABE-0000382	CDS	ampE	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	119281	120135	
ABE-0000384	CDS	aroP	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	120178	121551	
ABE-0000394	CDS	pdhR	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	122092	122856	
ABE-0000397	CDS	aceE	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	123017	125680	
ABE-0000400	CDS	aceF	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	125695	127587	
ABE-0000404	CDS	lpd	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	127912	129336	
ABE-0285328	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	129347	129361	
ABE-0000406	CDS	yacH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	129407	131260	
ABE-0000411	CDS	acnB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	131615	134212	
ABE-0000414	CDS	yacL	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	134388	134750	
ABE-0000416	CDS	speD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	134788	135582	
ABE-0000418	CDS	speE	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	135598	136464	
ABE-0000423	CDS	yacC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	136570	136917	
ABE-0000430	CDS	cueO	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	137083	138633	
ABE-0285329	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	138699	138796	
ABE-0000433	CDS	gcd	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	138835	141225	
ABE-0000440	CDS	hpt	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	141431	141967	
ABE-0285330	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	141978	141998	
ABE-0000442	CDS	can	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	142008	142670	
ABE-0000447	CDS	yadG	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	142779	143705	
ABE-0000450	CDS	yadH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	143702	144472	
ABE-0000453	CDS	yadI	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	144577	145017	
ABE-0000457	CDS	yadE	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	145081	146310	
ABE-0000459	CDS	panD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	146314	146694	
ABE-0000463	CDS	rpnC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	146968	147870	
ABE-0000465	CDS	panC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	147944	148795	
ABE-0000467	CDS	panB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	148807	149601	
ABE-0000470	CDS	yadC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	149715	150953	
ABE-0000472	CDS	yadK	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	151003	151599	
ABE-0000475	CDS	yadL	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	151626	152231	
ABE-0000477	CDS	yadM	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	152243	152812	
ABE-0000479	CDS	htrE	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	152829	155426	
ABE-0000482	CDS	yadV	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	155461	156201	
ABE-0000487	CDS	yadN	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	156299	156883	
ABE-0000491	CDS	folK	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	157253	157732	
ABE-0000493	CDS	pcnB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	157729	159126	
ABE-0000497	CDS	gluQ	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	159186	160112	
ABE-0000499	CDS	dksA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	160149	160604	
ABE-0000503	CDS	sfsA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	160782	161486	
ABE-0000505	CDS	thpR	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	161501	162031	
ABE-0000510	CDS	hrpB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	162105	164534	
ABE-0000516	CDS	mrcB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	164730	167264	
ABE-0285331	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	167281	167305	
ABE-0000520	CDS	fhuA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	167484	169727	
ABE-0000522	CDS	fhuC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	169778	170575	
ABE-0000524	CDS	fhuD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	170575	171465	
ABE-0000526	CDS	fhuB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	171462	173444	
ABE-0285332	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	173504	173588	
ABE-0000529	CDS	hemL	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	173602	174882	
ABE-0285818	CDS	yadX	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	175048	175095	
ABE-0000533	CDS	clcA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	175107	176528	
ABE-0285802	CDS	yadW	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	176552	176617	
ABE-0000538	CDS	erpA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	176610	176954	
ABE-0285333	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	176969	176987	
ABE-0000540	CDS	yadS	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	177001	177624	
ABE-0000542	CDS	btuF	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	177662	178462	
ABE-0000545	CDS	mtn	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	178455	179153	
ABE-0000548	CDS	dgt	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	179237	180754	
ABE-0000551	CDS	degP	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	180884	182308	
ABE-0000554	CDS	cdaR	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	182463	183620	
ABE-0000556	CDS	yaeH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	183709	184095	
ABE-0000559	CDS	yaeI	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	184257	185069	
ABE-0000565	CDS	dapD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	185123	185947	
ABE-0000568	CDS	glnD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	185978	188650	
ABE-0000571	CDS	map	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	188712	189506	
ABE-0047239	ncRNA	tff	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	189712	189847	
ABE-0000575	CDS	rpsB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	189874	190599	
ABE-0000579	CDS	tsf	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	190857	191708	
ABE-0000582	CDS	pyrH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	191855	192580	
ABE-0000588	CDS	frr	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	192872	193429	
ABE-0000592	CDS	dxr	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	193521	194717	
ABE-0000595	CDS	uppS	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	194903	195664	
ABE-0000600	CDS	cdsA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	195677	196534	
ABE-0000603	CDS	rseP	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	196546	197898	
ABE-0000605	CDS	bamA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	197928	200360	
ABE-0000608	CDS	skp	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	200482	200967	
ABE-0000610	CDS	lpxD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	200971	201996	
ABE-0000613	CDS	fabZ	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	202101	202556	
ABE-0000618	CDS	lpxA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	202560	203348	
ABE-0000620	CDS	lpxB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	203348	204496	
ABE-0000622	CDS	rnhB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	204493	205089	
ABE-0000624	CDS	dnaE	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	205126	208608	
ABE-0000630	CDS	accA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	208621	209580	
ABE-0000633	CDS	ldcC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	209679	211820	
ABE-0000635	CDS	yaeR	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	211877	212266	
ABE-0000638	CDS	tilS	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	212331	213629	
ABE-0285334	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	213632	213668	
ABE-0000641	CDS	rof	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	213678	213932	
ABE-0047214	CDS	yaeP	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	213925	214125	
ABE-0000648	CDS	yaeQ	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	214291	214836	
ABE-0000650	CDS	arfB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	214833	215255	
ABE-0000652	CDS	nlpE	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	215269	215979	
ABE-0285335	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	216027	216137	
ABE-0000655	CDS	yaeF	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	216179	217003	
ABE-0000657	CDS	proS	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	217057	218775	
ABE-0000661	CDS	trmO	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	218887	219594	
ABE-0000663	CDS	rcsF	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	219591	219995	
ABE-0000666	CDS	metQ	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	220113	220928	
ABE-0000668	CDS	metI	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	220968	221621	
ABE-0000671	CDS	metN	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	221614	222645	
ABE-0000675	CDS	gmhB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	222833	223408	
ABE-0000677	rRNA	rrsH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	223771	225312	
ABE-0000679	tRNA	ileV	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	225381	225457	
ABE-0000682	tRNA	alaV	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	225500	225575	
ABE-0000684	rRNA	rrlH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	225759	228662	
ABE-0000686	rRNA	rrfH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	228756	228875	
